serial_number;tree_location;date_time;date (mdy);time;rh;t_rh;t;l1;battery
SN319439 (jsi_pnt_1);T27;8/8/2016 12:00:00 PM;8/8/2016;12:00:00 PM;92,3;21,65999985;21,4;1763,571045;3,88
SN319439 (jsi_pnt_1);T27;8/8/2016 4:00:00 PM;8/8/2016;4:00:00 PM;90,7;19,12999916;19,3;125,9693604;3,88
SN319439 (jsi_pnt_1);T27;8/8/2016 8:00:00 PM;8/8/2016;8:00:00 PM;92,9;18,02000046;18;0;3,88
SN319439 (jsi_pnt_1);T27;8/9/2016 12:00:00 AM;8/9/2016;12:00:00 AM;93,4;17,97999954;17,8;0;3,88
SN319439 (jsi_pnt_1);T27;8/9/2016 4:00:00 AM;8/9/2016;4:00:00 AM;93,4;16,45999908;16,5;0;3,88
SN319439 (jsi_pnt_1);T27;8/9/2016 8:00:00 AM;8/9/2016;8:00:00 AM;94;17,04000092;16,9;405,2927246;3,88
SN319439 (jsi_pnt_1);T27;8/9/2016 12:00:00 PM;8/9/2016;12:00:00 PM;93,3;18,90999985;18,9;558,6467285;3,88
SN319439 (jsi_pnt_1);T27;8/9/2016 4:00:00 PM;8/9/2016;4:00:00 PM;93,3;18,84000015;18,8;465,5389404;3,88
SN319439 (jsi_pnt_1);T27;8/9/2016 8:00:00 PM;8/9/2016;8:00:00 PM;93,7;18,05999947;17,9;0;3,88
SN319439 (jsi_pnt_1);T27;8/10/2016 12:00:00 AM;8/10/2016;12:00:00 AM;93,7;16,36000061;16,3;0;3,88
SN319439 (jsi_pnt_1);T27;8/10/2016 4:00:00 AM;8/10/2016;4:00:00 AM;94,3;16,38999939;16,3;0;3,88
SN319439 (jsi_pnt_1);T27;8/10/2016 8:00:00 AM;8/10/2016;8:00:00 AM;94,4;16,55999947;16,4;87,63085938;3,88
SN319439 (jsi_pnt_1);T27;8/10/2016 12:00:00 PM;8/10/2016;12:00:00 PM;92,9;19,26000023;19,4;1445,90918;3,88
SN319439 (jsi_pnt_1);T27;8/10/2016 4:00:00 PM;8/10/2016;4:00:00 PM;76,9;22,71999931;23,4;3499,757324;3,88
SN319439 (jsi_pnt_1);T27;8/10/2016 8:00:00 PM;8/10/2016;8:00:00 PM;91,3;17,26000023;17,3;0;3,88
SN319439 (jsi_pnt_1);T27;8/11/2016 12:00:00 AM;8/11/2016;12:00:00 AM;90,1;16,54000092;16,4;0;3,88
SN319439 (jsi_pnt_1);T27;8/11/2016 4:00:00 AM;8/11/2016;4:00:00 AM;90,6;15,96000004;15,9;0;3,88
SN319439 (jsi_pnt_1);T27;8/11/2016 8:00:00 AM;8/11/2016;8:00:00 AM;91,4;16,15999985;15,8;531,262085;3,88
SN319439 (jsi_pnt_1);T27;8/11/2016 12:00:00 PM;8/11/2016;12:00:00 PM;91,7;19,42000008;18,9;1763,571045;3,88
SN319439 (jsi_pnt_1);T27;8/11/2016 4:00:00 PM;8/11/2016;4:00:00 PM;91,3;16,70999908;16,8;208,123291;3,88
SN319439 (jsi_pnt_1);T27;8/11/2016 8:00:00 PM;8/11/2016;8:00:00 PM;91,9;16,47999954;16,5;0;3,88
SN319439 (jsi_pnt_1);T27;8/12/2016 12:00:00 AM;8/12/2016;12:00:00 AM;92,6;15,42000008;15,4;0;3,88
SN319439 (jsi_pnt_1);T27;8/12/2016 4:00:00 AM;8/12/2016;4:00:00 AM;93,2;15,96000004;15,8;0;3,88
SN319439 (jsi_pnt_1);T27;8/12/2016 8:00:00 AM;8/12/2016;8:00:00 AM;93,4;15,22000027;15;142,4001465;3,88
SN319439 (jsi_pnt_1);T27;8/12/2016 12:00:00 PM;8/12/2016;12:00:00 PM;87,9;19,47999954;19,5;350,5234375;3,88
SN319439 (jsi_pnt_1);T27;8/12/2016 4:00:00 PM;8/12/2016;4:00:00 PM;91,4;20,48999977;20;175,2617188;3,88
SN319439 (jsi_pnt_1);T27;8/12/2016 8:00:00 PM;8/12/2016;8:00:00 PM;90,9;17,60000038;17,5;0;3,88
SN319439 (jsi_pnt_1);T27;8/13/2016 12:00:00 AM;8/13/2016;12:00:00 AM;92;16,55999947;16,5;0;3,88
SN319439 (jsi_pnt_1);T27;8/13/2016 4:00:00 AM;8/13/2016;4:00:00 AM;92,4;15,71000004;15,8;0;3,88
SN319439 (jsi_pnt_1);T27;8/13/2016 8:00:00 AM;8/13/2016;8:00:00 AM;93,1;15,68000031;15,4;186,2155762;3,88
SN319439 (jsi_pnt_1);T27;8/13/2016 12:00:00 PM;8/13/2016;12:00:00 PM;86;22,07999992;21,1;2081,23291;3,88
SN319439 (jsi_pnt_1);T27;8/13/2016 4:00:00 PM;8/13/2016;4:00:00 PM;77,8;24,55999947;24,8;1703,324829;3,88
SN319439 (jsi_pnt_1);T27;8/13/2016 8:00:00 PM;8/13/2016;8:00:00 PM;90,2;19,31999969;19,1;0;3,88
SN319439 (jsi_pnt_1);T27;8/14/2016 12:00:00 AM;8/14/2016;12:00:00 AM;92;17,92000008;17,6;0;3,88
SN319439 (jsi_pnt_1);T27;8/14/2016 4:00:00 AM;8/14/2016;4:00:00 AM;92,4;16,78000069;16,7;0;3,88
SN319439 (jsi_pnt_1);T27;8/14/2016 8:00:00 AM;8/14/2016;8:00:00 AM;92,9;16,98999977;16,8;339,5695801;3,88
SN319439 (jsi_pnt_1);T27;8/14/2016 12:00:00 PM;8/14/2016;12:00:00 PM;88,3;20,17000008;20,9;2930,156738;3,88
SN319439 (jsi_pnt_1);T27;8/14/2016 4:00:00 PM;8/14/2016;4:00:00 PM;92,4;22,27000046;22,1;2661,787354;3,88
SN319439 (jsi_pnt_1);T27;8/14/2016 8:00:00 PM;8/14/2016;8:00:00 PM;91,1;17,54000092;17,6;0;3,88
SN319439 (jsi_pnt_1);T27;8/15/2016 12:00:00 AM;8/15/2016;12:00:00 AM;92;16,53000069;16,5;0;3,88
SN319439 (jsi_pnt_1);T27;8/15/2016 4:00:00 AM;8/15/2016;4:00:00 AM;92,7;15,35999966;15,3;0;3,88
SN319439 (jsi_pnt_1);T27;8/15/2016 8:00:00 AM;8/15/2016;8:00:00 AM;93,2;16,31999969;15,9;799,6315918;3,88
SN319439 (jsi_pnt_1);T27;8/15/2016 12:00:00 PM;8/15/2016;12:00:00 PM;92,2;18,38999939;18,1;996,8010254;3,88
SN319439 (jsi_pnt_1);T27;8/15/2016 4:00:00 PM;8/15/2016;4:00:00 PM;89,1;21,37999916;22,2;4918,282227;3,88
SN319439 (jsi_pnt_1);T27;8/15/2016 8:00:00 PM;8/15/2016;8:00:00 PM;90,8;17,97999954;18;0;3,88
SN319439 (jsi_pnt_1);T27;8/16/2016 12:00:00 AM;8/16/2016;12:00:00 AM;92,3;17,45999908;17,3;0;3,88
SN319439 (jsi_pnt_1);T27;8/16/2016 4:00:00 AM;8/16/2016;4:00:00 AM;92,7;15,80000019;15,9;0;3,88
SN319439 (jsi_pnt_1);T27;8/16/2016 8:00:00 AM;8/16/2016;8:00:00 AM;93,1;16,05999947;15,9;783,2008057;3,88
SN319439 (jsi_pnt_1);T27;8/16/2016 12:00:00 PM;8/16/2016;12:00:00 PM;90;19,94000053;21,1;4507,512207;3,88
SN319439 (jsi_pnt_1);T27;8/16/2016 8:00:00 PM;8/16/2016;8:00:00 PM;91;19,04000092;19;0;3,88
SN319439 (jsi_pnt_1);T27;8/17/2016 12:00:00 AM;8/17/2016;12:00:00 AM;91,9;17,53000069;17,6;0;3,88
SN319439 (jsi_pnt_1);T27;8/17/2016 4:00:00 AM;8/17/2016;4:00:00 AM;92,7;16,95999908;16,8;0;3,88
SN319439 (jsi_pnt_1);T27;8/17/2016 8:00:00 AM;8/17/2016;8:00:00 AM;93;17,56999969;17,4;854,4008789;3,88
SN319439 (jsi_pnt_1);T27;8/17/2016 12:00:00 PM;8/17/2016;12:00:00 PM;91,9;18,97999954;19,1;1029,662598;3,88
SN319439 (jsi_pnt_1);T27;8/17/2016 4:00:00 PM;8/17/2016;4:00:00 PM;93,8;20,45000076;20,8;810,5854492;3,88
SN319439 (jsi_pnt_1);T27;8/17/2016 8:00:00 PM;8/17/2016;8:00:00 PM;91,4;18,87999916;18,9;0;3,88
SN319439 (jsi_pnt_1);T27;8/18/2016 12:00:00 AM;8/18/2016;12:00:00 AM;92,5;18,37999916;18,3;0;3,88
SN319439 (jsi_pnt_1);T27;8/18/2016 4:00:00 AM;8/18/2016;4:00:00 AM;92,9;17,26000023;17,3;0;3,88
SN319439 (jsi_pnt_1);T27;8/18/2016 8:00:00 AM;8/18/2016;8:00:00 AM;93,4;17,40999985;17,3;898,2163086;3,88
SN319439 (jsi_pnt_1);T27;8/18/2016 12:00:00 PM;8/18/2016;12:00:00 PM;91;19,5;19,6;1621,170898;3,88
SN319439 (jsi_pnt_1);T27;8/18/2016 4:00:00 PM;8/18/2016;4:00:00 PM;90,8;18,84000015;18,9;87,63085938;3,88
SN319439 (jsi_pnt_1);T27;8/18/2016 8:00:00 PM;8/18/2016;8:00:00 PM;92,6;17,81999969;17,8;0;3,88
